	idpedido	cliente	idempleado	idempresa	importe	pais
0	10248	WILMK	5	3	32.38	Finlandia
1	10249	TOMSP	6	1	11.61	Alemania
2	10250	HANAR	4	2	65.83	Brasil
3	10251	VICTE	3	1	41.34	Francia
4	10252	SUPRD	4	2	51.3	Belgica
5	10253	HANAR	3	2	58.17	Brasil
6	10254	CHOPS	5	2	22.98	Suiza
7	10255	RICSU	9	3	148.33	Suiza
8	10256	WELLI	3	2	13.97	Brasil
9	10257	HILAA	4	3	81.91	Venezuela
10	10258	ERNSH	1	1	140.51	Austria
11	10259	CENTC	4	3	3.25	Mexico
12	10260	OTTIK	4	1	55.09	Alemania
13	10261	QUEDE	4	2	3.05	Brasil
14	10262	RATTC	8	3	48.29	Estados Unidos
15	10263	ERNSH	9	3	146.06	Austria
16	10264	FOLKO	6	3	3.67	Suecia
17	10265	BLONP	2	1	55.28	Francia
18	10266	WARTH	3	3	25.73	Finlandia
19	10267	FRANK	4	1	208.58	Alemania
20	10268	GROSR	8	3	66.29	Venezuela
21	10269	WHITC	5	1	4.56	Estados Unidos
22	10270	WARTH	1	1	136.54	Finlandia
23	10271	SPLIR	6	2	4.54	Estados Unidos
24	10272	RATTC	6	2	98.03	Estados Unidos
25	10273	QUICK	3	3	76.07	Alemania
26	10274	VINET	6	1	6.01	Francia
27	10275	MAGAA	1	1	26.93	Italia
28	10276	TORTU	8	3	13.84	Mexico
29	10277	MORGK	2	3	125.77	Alemania
30	10278	BERGS	8	2	92.69	Suecia
31	10279	LEHMS	8	2	25.83	Alemania
32	10280	BERGS	2	1	8.98	Suecia
33	10281	ROMEY	4	1	2.94	Espanya
34	10282	ROMEY	4	1	12.69	Espanya
35	10283	LILAS	3	3	84.81	Venezuela
36	10284	LEHMS	4	1	76.56	Alemania
37	10285	QUICK	1	2	76.83	Alemania
38	10286	QUICK	8	3	229.24	Alemania
39	10287	RICAR	8	3	12.76	Brasil
40	10288	REGGC	4	1	7.45	Italia
41	10289	BSBEV	7	3	22.77	Reino Unido
42	10290	COMMI	8	1	79.7	Brasil
43	10291	QUEDE	6	2	6.4	Brasil
44	10292	TRADH	1	2	1.35	Brasil
45	10293	TORTU	1	3	21.18	Mexico
46	10294	RATTC	4	2	147.26	Estados Unidos
47	10295	VINET	2	2	1.15	Francia
48	10296	LILAS	6	1	0.12	Venezuela
49	10297	BLONP	5	2	5.74	Francia
50	10298	HUNGO	6	2	168.22	Irlanda
51	10299	RICAR	4	2	29.76	Brasil
52	10300	MAGAA	2	2	17.68	Italia
53	10301	WANDK	8	2	45.08	Alemania
54	10302	SUPRD	4	2	6.27	Belgica
55	10303	GODOS	7	2	107.83	Espanya
56	10304	TORTU	1	2	63.79	Mexico
57	10305	OLDWO	8	3	257.62	Estados Unidos
58	10306	ROMEY	1	3	7.56	Espanya
59	10307	LONEP	2	2	0.56	Estados Unidos
60	10308	ANATR	7	3	1.61	Mexico
61	10309	HUNGO	3	1	47.3	Irlanda
62	10310	THEBI	8	2	17.52	Estados Unidos
63	10311	DUMON	1	3	24.69	Francia
64	10312	WANDK	2	2	40.26	Alemania
65	10313	QUICK	2	2	1.96	Alemania
66	10314	RATTC	1	2	74.16	Estados Unidos
67	10315	ISLAT	4	2	41.76	Reino Unido
68	10316	RATTC	1	3	150.15	Estados Unidos
69	10317	LONEP	6	1	12.69	Estados Unidos
70	10318	ISLAT	8	2	4.73	Reino Unido
