Tipo;Localizacion;Uso;Ministerio;Superficie
Edificio;Madrid CR. PUENTE DE ARGANDA S/N;RADIOTELEVISION ESPAÑOLA;Ministerio de la Presidencia;8035 m2;
Edificio;Madrid C/ RUIZ PALACIOS, 19;CENTRO DE ESTUDIOS POLITÍCOS Y CONSTITUCIONALES;Ministerio de la Presidencia;734 m2;
Edificio;Madrid PLAZA DE LA MARINA ESPAÑOLA, 9;CENTRO DE ESTUDIOS POLITÍCOS Y CONSTITUCIONALES;Ministerio de la Presidencia;4377 m2;
Edificio;Madrid P DE LA FLORIDA;CONSEJO ADMIN. PATRIMONIO NACIONAL;Ministerio de la Presidencia;1310 m2;
Edificio;Madrid PUERTA DE HIERRO,AV.;MINISTERIO DE LA PRESIDENCIA;Ministerio de la Presidencia;10640 m2;
Solar;Madrid AVENIDA DE MANOTERAS, 54;AGENCIA ESTATAL BOLETIN OFICIAL DEL ESTADO;Ministerio de la Presidencia;16695 m2;
Edificio;Madrid COMPLEJO MONCLOA. EDIFICIO;MINISTERIO DE LA PRESIDENCIA;Ministerio de la Presidencia;3497 m2;
Edificio;Soria C CAMPO 5 C/V CALLE MESTA 2   PLANTA 5 (Ó 6 SEGÚN RD);RADIOTELEVISION ESPAÑOLA;Ministerio de la Presidencia;420 m2;
Edificio;Gipuzkoa MONTE JAIZKIBEL;MINISTERIO DE LA PRESIDENCIA;Ministerio de la Presidencia;492 m2;
Edificio;Salamanca PEÑA DE FRANCIA;RADIOTELEVISION ESPAÑOLA;Ministerio de la Presidencia;840 m2;
Edificio;Madrid PO RASO DE LA ESTRELLA O C/ CORONELES;CONSEJO ADMIN. PATRIMONIO NACIONAL;Ministerio de la Presidencia;3576 m2;
Edificio;Illes Balears JOAN MIRO;CONSEJO ADMIN. PATRIMONIO NACIONAL;Ministerio de la Presidencia;5016 m2;
Edificio;Segovia C MALLO, 5 Y MELANCOLIA BAJA 1, 9 Y 11;CONSEJO ADMIN. PATRIMONIO NACIONAL;Ministerio de la Presidencia;1015 m2;
Edificio;Sevilla JUDERIA,1-A;CONSEJO ADMIN. PATRIMONIO NACIONAL;Ministerio de la Presidencia;70 m2;
Edificio;Soria PARAJE &quot;LA MACHORRA&quot;;RADIOTELEVISION ESPAÑOLA;Ministerio de la Presidencia;24 m2;
Edificio;Madrid PUERTA DE HIERRO, AV.;MINISTERIO DE LA PRESIDENCIA;Ministerio de la Presidencia;12882 m2;
Edificio;Madrid 28 001 161 CR CORUÑA KM 8,4;CENTRO NACIONAL DE INTELIGENCIA;Ministerio de la Presidencia;57355 m2;
Edificio;Madrid C COMPLEJO MONCLOA ANEXOS;MINISTERIO DE LA PRESIDENCIA;Ministerio de la Presidencia;4129 m2;
Edificio;Madrid CR N. VI,KM. 5,400  COMPLEJO MONCLOA;MINISTERIO DE LA PRESIDENCIA;Ministerio de la Presidencia;3270 m2;
Edificio;Segovia C TERMINO DEL ESPINAR, T. DE SAN RAFAEL;RADIOTELEVISION ESPAÑOLA;Ministerio de la Presidencia;16 m2;
Edificio;Madrid AVDA PUERTA DE HIERRO N.13 (EN CATASTRO EL N. 11);MINISTERIO DE LA PRESIDENCIA;Ministerio de la Presidencia;8965 m2;
Edificio;Castelló/Castellón C/ PADRE VELA, 12-14, C/V Pº RIBALTA, 12;MINISTERIO DE LA PRESIDENCIA;Ministerio de la Presidencia;179,21 m2;
Edificio;Madrid C EL GRECO S/N , COMPLEJO MONCLOA;MINISTERIO DE LA PRESIDENCIA;Ministerio de la Presidencia;19073 m2;
Edificio;Sevilla C DE LA JUDERIA, 4;CONSEJO ADMIN. PATRIMONIO NACIONAL;Ministerio de la Presidencia;240 m2;
Edificio;Madrid C/ MARIA DE MOLINA, 50;MINISTERIO DE LA PRESIDENCIA;Ministerio de la Presidencia;1405,47 m2;
Edificio;Madrid COMPLEJO MONCLOA. EDIFICIO &quot; SEMILLAS &quot;;MINISTERIO DE LA PRESIDENCIA;Ministerio de la Presidencia;5169 m2;
Edificio;Madrid CR N. VI,KM. 5,400  COMPLEJO MONCLOA;MINISTERIO DE LA PRESIDENCIA;Ministerio de la Presidencia;4772 m2;
Edificio;Sevilla CR. NAL. IV KM. 563;MINISTERIO DE LA PRESIDENCIA;Ministerio de la Presidencia;260 m2;
Edificio;Jaén ESTACION, P. 30-10;MINISTERIO DE LA PRESIDENCIA;Ministerio de la Presidencia;434 m2;
Edificio;Madrid C/ RUIZ PALACIOS, 19 (BIS);CENTRO DE ESTUDIOS POLITÍCOS Y CONSTITUCIONALES;Ministerio de la Presidencia;424 m2;
Edificio;Málaga CALLE RAMOS CARRIÓN, 40-48;MINISTERIO DE LA PRESIDENCIA;Ministerio de la Presidencia;216,4 m2;
Edificio;Sevilla C PATIO DE BANDERAS 4, BAJO Y GARAJE;CONSEJO ADMIN. PATRIMONIO NACIONAL;Ministerio de la Presidencia;12 m2;
Edificio;Madrid C MONTALBAN 8;CENTRO DE INVESTIGACIONES SOCIOLOGICAS;Ministerio de la Presidencia;3059 m2;
